id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; 
3122 ; ToolStickEgg ; Bunny Day wand ; イースターなステッキ ; 復活節棒 ; 复活节棒 ; 이스터 지팡이 ; baguette fête des œufs ; Häschentag-Stab ; varita Caza del Huevo ; bacchetta caccia all'uovo ; eierstaf ; палочка на День зайцев ; 
3147 ; ToolAxeFragile ; worn axe ; こわれかけのオノ ; 快壞掉的斧頭 ; 快要坏掉的斧头 ; 튼튼하지 않은 도끼 ; hache émoussée ; Morschaxt ; hacha maltrecha ; ascia consumata ; versleten bijl ; видавший виды топор ; 
3197 ; ToolStickJune ; wedding wand ; ウェディングなステッキ ; 婚禮棒 ; 婚礼棒 ; 웨딩 지팡이 ; baguette de mariage ; Hochzeitsstab ; varita ramo de boda ; bacchetta nuziale ; trouwstaf ; свадебная палочка ; 
3375 ; ToolStickKikilala0 ; Kiki & Lala wand ; キキ&ララなステッキ ; Kiki & Lala棒 ; Kiki & Lala棒 ; 리틀트윈스타 지팡이 ; baguette Kiki & Lala ; Kiki-&-Lala-Stab ; varita Kiki & Lala ; bacchetta Kiki & Lala ; Kiki-&-Lala-staf ; палочка Kiki & Lala ; 
33B5 ; ToolStickHalloween ; spooky wand ; ハロウィンなステッキ ; 萬聖節棒 ; 万圣节棒 ; 할로윈 지팡이 ; baguette Halloween ; Kürbisstab ; varita calabaza ; bacchetta brividi ; pompoenstaf ; жуткая палочка ; 
379F ; ToolStickShamrock ; shamrock wand ; シャムロックステッキ ; 三葉草棒 ; 三叶草棒 ; 성 패트릭 지팡이 ; baguette trèfle ; Kleeblattstab ; varita trébol ; bacchetta trifoglio ; klaverstaf ; палочка с трилистником ; 
0246 ; FtrInsectAburazemi ; brown cicada ; アブラゼミ ; 油蟬 ; 油蝉 ; 유지매미 ; cigale cercope ; Braunzikade ; cigarra marrón ; cicala marrone ; bruine cicade ; коричневая цикада ; 
0247 ; FtrInsectAgehacho ; tiger butterfly ; アゲハチョウ ; 鳳蝶 ; 凤蝶 ; 호랑나비 ; machaon ; Schwalbenschwanz ; mariposa tigre ; farfalla tigre ; koninginnenpage ; махаон ; 
0248 ; FtrInsectAkaeritoribaneageha ; Rajah Brooke's birdwing ; アカエリトリバネアゲハ ; 紅頸鳳蝶 ; 红颈凤蝶 ; 붉은목도리비단나비 ; troides brookiana ; Troides brookiana ; mariposa alas de Brooke ; farfalla Raja Brooke ; Rajah Brooke-vlinder ; трогоноптера Брука ; 
0249 ; FtrInsectAkiakane ; red dragonfly ; アキアカネ ; 紅蜻蜓 ; 红蜻蜓 ; 고추잠자리 ; sympetrum ; Feuerlibelle ; libélula roja ; libellula rossa ; rode libel ; красная стрекоза ; 
024A ; FtrInsectArekisandoratoribaneageha ; Queen Alexandra's birdwing ; アレキサンドラトリバネアゲハ ; 亞歷山大鳳蝶 ; 亚历山大凤蝶 ; 알렉산드라비단제비나비 ; troides alexandrae ; Vogelfalter ; mariposa alas de pájaro ; farfalla regina Alessandra ; Alexandra's vogelvlinder ; птицекрылка Александры ; 
024B ; FtrInsectAmenbo ; pondskater ; アメンボ ; 水黽 ; 水黾 ; 소금쟁이 ; patineur ; Wasserläufer ; zapatero ; gerride ; schaatsenrijder ; водомерка ; 
024C ; FtrInsectAri ; ant ; アリ ; 螞蟻 ; 蚂蚁 ; 개미 ; fourmi ; Ameise ; hormiga ; formica ; mier ; муравей ; 
024E ; FtrInsectDangomushi ; pill bug ; ダンゴムシ ; 鼠婦 ; 鼠妇 ; 공벌레 ; cloporte ; Kugelassel ; cochinilla ; porcellino di terra ; rolpissebed ; мокрица ; 
024F ; FtrInsectFunamushi ; wharf roach ; フナムシ ; 海蟑螂 ; 海蟑螂 ; 갯강구 ; ligie ; Ligia exotica ; cochinilla de arena ; ligia exotica ; strandpissebed ; морской таракан ; 
0250 ; FtrInsectGa ; moth ; ガ ; 飛蛾 ; 飞蛾 ; 나방 ; papillon de nuit ; Motte ; polilla ; falena ; mot ; павлиноглазка ; 
0252 ; FtrInsectGengorou ; diving beetle ; ゲンゴロウ ; 龍蝨 ; 龙虱 ; 물방개 ; dytique ; Schwimmkäfer ; escarabajo nadador ; ditisco ; waterroofkever ; плавунец ; 
0253 ; FtrInsectGinyanma ; darner dragonfly ; ギンヤンマ ; 綠胸晏蜓 ; 绿胸晏蜓 ; 왕잠자리 ; anax napolitain ; Königslibelle ; libélula caballito del diablo ; libellula depressa ; zuidelijke keizerlibel ; дозорщик ; 
0254 ; FtrInsectGoraiasuohtsunohanamuguri ; goliath beetle ; ゴライアスオオツノハナムグリ ; 哥利亞大角花金龜 ; 歌利亚大角花金龟 ; 골리앗왕꽃무지 ; scarabée Goliath ; Goliathkäfer ; goliat ; scarabeo Golia ; goliathkever ; жук-голиаф ; 
0255 ; FtrInsectHae ; fly ; ハエ ; 蒼蠅 ; 苍蝇 ; 파리 ; mouche ; Fliege ; mosca ; mosca ; vlieg ; муха ; 
0256 ; FtrInsectHanakamakiri ; orchid mantis ; ハナカマキリ ; 蘭花螳螂 ; 兰花螳螂 ; 연꽃사마귀 ; mante orchidée ; Orchideenmantis ; mantis orquídea ; mantide orchidea ; orchidee-bidsprinkhaan ; орхидейный богомол ; 
0257 ; FtrInsectHanmyou ; tiger beetle ; ハンミョウ ; 虎甲蟲 ; 虎甲虫 ; 길앞잡이 ; cicindèle ; Sandlaufkäfer ; escarabajo tigre ; cicindela ; zandloopkever ; жук-скакун ; 
0258 ; FtrInsectHerakuresuohkabuto ; horned hercules ; ヘラクレスオオカブト ; 長戟大兜蟲 ; 长戟大兜虫 ; 헤라클레스장수풍뎅이 ; scarabée Hercule ; Herkuleskäfer ; escarabajo astado hércules ; scarabeo Ercole ; herculeskever ; жук-геркулес ; 
0259 ; FtrInsectHigurashi ; evening cicada ; ヒグラシ ; 暮蟬 ; 暮蝉 ; 쓰르라미 ; cigale higurashi ; Abendzikade ; cigarrilla ; cicala notturna ; avondcicade ; ночная цикада ; 
025A ; FtrInsectHosoakakuwagata ; cyclommatus stag ; ホソアカクワガタ ; 細身赤鍬形蟲 ; 细身赤锹形虫 ; 엘라푸스가위사슴벌레 ; lucane cyclommatus ; Cyclommatus ; esc. ciervo cyclommatus ; coleottero cyclommatus ; vliegend hert ; жук-рогач ; 
025B ; FtrInsectHotaru ; firefly ; ホタル ; 螢火蟲 ; 萤火虫 ; 반디 ; luciole ; Leuchtkäfer ; luciérnaga ; lucciola ; vuurvliegje ; светлячок ; 
025C ; FtrInsectFunkorogashi ; dung beetle ; フンコロガシ ; 糞金龜 ; 蜣螂 ; 쇠똥구리 ; bousier ; Mistkäfer ; escarabajo pelotero ; scarabeo stercorario ; mestkever ; жук-навозник ; 
025D ; FtrInsectInago ; rice grasshopper ; イナゴ ; 稻蝗 ; 稻蝗 ; 메뚜기 ; criquet ; Heuschrecke ; langosta ; locusta ; rijstsprinkhaan ; рисовая кобылка ; 
025E ; FtrInsectKa ; mosquito ; カ ; 蚊子 ; 蚊子 ; 모기 ; moustique ; Mücke ; mosquito ; zanzara ; mug ; комар ; 
025F ; FtrInsectKamakiri ; mantis ; カマキリ ; 螳螂 ; 螳螂 ; 사마귀 ; mante religieuse ; Gottesanbeterin ; mantis religiosa ; mantide ; bidsprinkhaan ; богомол ; 
0260 ; FtrInsectKamemushi ; stinkbug ; カメムシ ; 椿象 ; 椿象 ; 노린재 ; punaise ; Stinkwanze ; chinche ; cimice ; schildwants ; щитник ; 
0261 ; FtrInsectGomadarakamikiri ; citrus long-horned beetle ; ゴマダラカミキリ ; 星天牛 ; 星天牛 ; 알락하늘소 ; capricorne des agrumes ; Fichtenbock ; longicornio asiático ; tarlo asiatico ; Aziatische boktor ; цитрусовый усач ; 
0262 ; FtrInsectKarasuageha ; peacock butterfly ; カラスアゲハ ; 烏鴉鳳蝶 ; 乌鸦凤蝶 ; 제비나비 ; papilio bianor ; Ritterfalter ; mariposa bianor ; farfalla vanessa io ; pauwenpage ; бианор ; 
0263 ; FtrInsectKatatsumuri ; snail ; カタツムリ ; 蝸牛 ; 蜗牛 ; 달팽이 ; escargot ; Schnecke ; caracol ; chiocciola ; slak ; улитка ; 
0264 ; FtrInsectKabutomushi ; horned dynastid ; カブトムシ ; 獨角仙 ; 独角仙 ; 장수풍뎅이 ; scarabée kabuto ; Nashornkäfer ; escarabajo astado japonés ; scarabeo kabutomushi ; neushoornkever ; дупляк ; 
0265 ; FtrInsectKirigirisu ; grasshopper ; キリギリス ; 蚱蜢 ; 蚱蜢 ; 여치 ; sauterelle ; Grashüpfer ; saltamontes ; cavalletta ; sprinkhaan ; кузнечик ; 
0266 ; FtrInsectSenchikogane ; earth-boring dung beetle ; オオセンチコガネ ; 雪隱金龜 ; 雪隐金龟 ; 보라금풍뎅이 ; geotrupidae ; Gold-Mistkäfer ; escarabajo geotrúpido ; geotrupidae ; echte mestkever ; навозник-землерой ; 
0267 ; FtrInsectKohkasasuohkabuto ; horned atlas ; コーカサスオオカブト ; 高卡薩斯南洋大兜蟲 ; 高卡萨斯南洋大兜虫 ; 코카서스장수풍뎅이 ; scarabée Atlas ; Atlaskäfer ; escarabajo astado atlas ; scarabeo atlas ; atlaskever ; жук-атлас ; 
0268 ; FtrInsectKonohamushi ; walking leaf ; コノハムシ ; 葉竹節蟲 ; 叶竹节虫 ; 잎사귀벌레 ; phyllie ; Blattschrecke ; insecto hoja ; insetto foglia ; wandelend blad ; листотел ; 
0269 ; FtrInsectKohrogi ; cricket ; コオロギ ; 蟋蟀 ; 蟋蟀 ; 귀뚜라미 ; grillon des prés ; Grille ; grillo común ; grillo ; krekel ; сверчок ; 
026A ; FtrInsectKumazemi ; giant cicada ; クマゼミ ; 熊蟬 ; 熊蝉 ; 곰매미 ; cigale géante ; Riesenzikade ; cigarra gigante ; cicala gigante ; reuzencicade ; гигантская цикада ; 
026B ; FtrInsectKumo ; spider ; クモ ; 蜘蛛 ; 蜘蛛 ; 거미 ; araignée ; Spinne ; araña ; ragno ; spin ; паук ; 
026C ; FtrInsectMiirotateha ; agrias butterfly ; ミイロタテハ ; 彩襖蛺蝶 ; 彩袄蛱蝶 ; 아그리아스나비 ; agrias ; Agrias-Falter ; mariposa narciso ; farfalla agrias ; agriasvlinder ; агриас клаудина ; 
026D ; FtrInsectMinminzemi ; robust cicada ; ミンミンゼミ ; 斑透翅蟬 ; 斑透翅蝉 ; 참매미 ; cigale hyalessa ; Hyalessa-Zikade ; cigarra oriental ; cicala robusta ; minmin-cicade ; певчая цикада ; 
026E ; FtrInsectMinomushi ; bagworm ; ミノムシ ; 蓑衣蟲 ; 蓑衣虫 ; 도롱이벌레 ; psyché ; Sackträger ; oruga de bolsón ; bruco dal fodero ; zakjesdrager ; мешочница ; 
026F ; FtrInsectMitsubachi ; honeybee ; ミツバチ ; 蜜蜂 ; 蜜蜂 ; 꿀벌 ; abeille naine ; Honigbiene ; abeja melífera ; ape operaia ; honingbij ; восковая пчела ; 
0270 ; FtrInsectMiyamakuwagata ; miyama stag ; ミヤマクワガタ ; 深山鍬形蟲 ; 深山锹形虫 ; 사슴벌레 ; lucane miyama ; Hirschkäfer ; escarabajo ciervo Miyama ; coleottero lucanide ; Miyama-hertkever ; горный жук-олень ; 
0271 ; FtrInsectMonkicho ; yellow butterfly ; モンキチョウ ; 斑緣點粉蝶 ; 斑缘点粉蝶 ; 노랑나비 ; citrin ; Zitronenfalter ; mariposa colias ; farfalla gialla ; citroenvlinder ; желтушка ; 
0272 ; FtrInsectMonshirocho ; common butterfly ; モンシロチョウ ; 白粉蝶 ; 白粉蝶 ; 배추흰나비 ; piéride de la rave ; Kohlweißling ; mariposa común ; farfalla comune ; koolwitje ; белянка ; 
0273 ; FtrInsectMorufuocho ; emperor butterfly ; モルフォチョウ ; 大藍閃蝶 ; 大蓝闪蝶 ; 몰포나비 ; morpho bleu ; Himmelsfalter ; mariposa celeste ; farfalla morfo blu ; blauwe morpho ; морфо менелай ; 
0274 ; FtrInsectMukade ; centipede ; ムカデ ; 蜈蚣 ; 蜈蚣 ; 지네 ; mille-pattes ; Hundertfüßer ; ciempiés ; centopiedi ; duizendpoot ; многоножка ; 
0276 ; FtrInsectNanafushi ; walking stick ; ナナフシ ; 竹節蟲 ; 竹节虫 ; 긴수염대벌레 ; phasme ; Stabschrecke ; insecto palo ; insetto stecco ; wandelende tak ; палочник ; 
0277 ; FtrInsectNijiirokuwagata ; rainbow stag ; ニジイロクワガタ ; 彩虹鍬形蟲 ; 彩虹锹形虫 ; 뮤엘러리사슴벌레 ; lucane copris irisé ; Pracht-Hirschkäfer ; escarabajo ciervo arcoíris ; coleottero arcobaleno ; regenbooghertkever ; радужный жук-олень ; 
0278 ; FtrInsectNokogirikuwagata ; saw stag ; ノコギリクワガタ ; 鋸鍬形蟲 ; 锯锹形虫 ; 톱사슴벌레 ; lucane inclinatus ; Sägezahn-Hirschkäfer ; escarabajo ciervo sierra ; coleottero cervo ; zaaghertkever ; жук-олень ; 
0279 ; FtrInsectNomi ; flea ; ノミ ; 跳蚤 ; 跳蚤 ; 벼룩 ; puce ; Floh ; pulga ; pulce ; vlo ; блоха ; 
027A ; FtrInsectOkera ; mole cricket ; オケラ ; 螻蛄 ; 蝼蛄 ; 땅강아지 ; taupe-grillon ; Maulwurfsgrille ; grillo cebollero ; grillotalpa ; veenmol ; медведка ; 
027B ; FtrInsectOniyanma ; banded dragonfly ; オニヤンマ ; 無霸勾蜓 ; 无霸勾蜓 ; 장수잠자리 ; cordulégastre ; Quelljungfer ; libélula tigre ; libellula striata ; bronlibel ; кордулегастер ; 
027C ; FtrInsectOhkabamadara ; monarch butterfly ; オオカバマダラ ; 大樺斑蝶 ; 大桦斑蝶 ; 왕나비 ; monarque ; Monarchfalter ; mariposa monarca ; farfalla monarca ; monarchvlinder ; монарх ; 
027D ; FtrInsectOhkuwagata ; giant stag ; オオクワガタ ; 大鍬形蟲 ; 大锹形虫 ; 왕사슴벌레 ; lucane cerf-volant ; Riesen-Hirschkäfer ; escarabajo ciervo gigante ; coleottero gigante ; reuzenhertkever ; гигантский жук-олень ; 
027E ; FtrInsectOugononikuwagata ; golden stag ; オウゴンオニクワガタ ; 黃金鬼鍬形蟲 ; 黄金鬼锹形虫 ; 황금사슴벌레 ; lucane lamprima ; Allotopus rosenbergi ; escarabajo ciervo tornasol ; coleottero dorato ; gouden hertkever ; ламприма ; 
027F ; FtrInsectPurachinakogane ; scarab beetle ; プラチナコガネ ; 寶石金龜 ; 宝石金龟 ; 보석풍뎅이 ; scarabée ; Goldskarabäus ; escarabajo oro ; chrysina resplendens ; scarabee ; золотой скарабей ; 
0280 ; FtrInsectSasori ; scorpion ; サソリ ; 蠍子 ; 蝎子 ; 전갈 ; scorpion ; Skorpion ; escorpión ; scorpione ; schorpioen ; скорпион ; 
0281 ; FtrInsectSeminonukegara ; cicada shell ; セミのぬけがら ; 蟬蛻 ; 蝉蜕 ; 매미 허물 ; mue de cigale ; Zikadenlarvenhaut ; muda de cigarra ; esuvia di cicala ; cicadehuid ; кокон цикады ; 
0282 ; FtrInsectSuzumushi ; bell cricket ; スズムシ ; 鈴蟲 ; 铃虫 ; 방울벌레 ; grillon du Midi ; Singgrille ; grillo campana ; suzumushi ; belkrekel ; домашний сверчок ; 
0283 ; FtrInsectHachi ; wasp ; ハチ ; 黃蜂 ; 黄蜂 ; 벌 ; guêpe ; Wespe ; avispa ; vespa ; wesp ; оса ; 
0284 ; FtrInsectShoryobatta ; long locust ; ショウリョウバッタ ; 中華劍角蝗 ; 中华剑角蝗 ; 방아깨비 ; acrida cinerea ; Nasenschrecke ; langosta alargada ; acrida cinerea ; veldsprinkhaan ; акрида ; 
0285 ; FtrInsectTamamushi ; jewel beetle ; タマムシ ; 吉丁蟲 ; 吉丁虫 ; 비단벌레 ; bupreste ; Prachtkäfer ; escarabajo joya ; stigmodera ; prachtkever ; златка ; 
0286 ; FtrInsectTaranchura ; tarantula ; タランチュラ ; 狼蛛 ; 狼蛛 ; 타란툴라 ; tarentule ; Vogelspinne ; tarántula ; tarantola ; vogelspin ; паук-птицеед ; 
0287 ; FtrInsectTentoumushi ; ladybug ; テントウムシ ; 瓢蟲 ; 瓢虫 ; 무당벌레 ; coccinelle ; Marienkäfer ; mariquita ; coccinella ; lieveheersbeestje ; божья коровка ; 
0288 ; FtrInsectTonosamabatta ; migratory locust ; トノサマバッタ ; 飛蝗 ; 飞蝗 ; 섬풀무치 ; criquet pèlerin ; Wanderschrecke ; langosta migratoria ; locusta migratoria ; treksprinkhaan ; перелетная саранча ; 
0289 ; FtrInsectTsukutsukuhousi ; walker cicada ; ツクツクホウシ ; 寒蟬 ; 寒蝉 ; 애매미 ; cigale cicadelle ; Bergzikade ; cigarra común ; cicala sputacchina ; bergcicade ; горная цикада ; 
028A ; FtrInsectBaiorinmushi ; violin beetle ; バイオリンムシ ; 提琴蟲 ; 提琴虫 ; 바이올린벌레 ; mormolyce ; Geigenkäfer ; escarabajo violín ; carabo violino ; vioolkever ; листовидная жужелица ; 
028B ; FtrInsectYadokari ; hermit crab ; ヤドカリ ; 寄居蟹 ; 寄居蟹 ; 소라게 ; bernard-l'ermite ; Einsiedlerkrebs ; cangrejo ermitaño ; granchio paguro ; heremietkreeft ; рак-отшельник ; 
028C ; FtrInsectYonagunisan ; Atlas moth ; ヨナグニサン ; 皇蛾 ; 皇蛾 ; 아틀라스나방 ; attacus Atlas ; Atlasspinner ; polilla atlas ; farfalla cobra ; atlasvlinder ; павлиноглазка атлас ; 
028D ; FtrInsectZoukabuto ; horned elephant ; ゾウカブト ; 象兜蟲 ; 象兜虫 ; 코끼리장수풍뎅이 ; scarabée éléphant ; Elefantenkäfer ; escarabajo astado elefante ; scarabeo elefante ; olifantkever ; жук-слон ; 
0D95 ; FtrInsectAosujiageha ; common bluebottle ; アオスジアゲハ ; 青帶鳳蝶 ; 青带凤蝶 ; 청띠제비나비 ; graphium sarpedon ; Kolibrifalter ; mariposa triángulo azul ; graphium sarpedon ; blauwe driehoek ; графиум сарпедон ; 
0D96 ; FtrInsectOhgomamadara ; paper kite butterfly ; オオゴマダラ ; 大白斑蝶 ; 大白斑蝶 ; 왕얼룩나비 ; grand planeur ; Weiße Baumnymphe ; mariposa cometa de papel ; farfalla carta di riso ; papiervlinder ; идея левконоя ; 
0D97 ; FtrInsectOhmurasaki ; great purple emperor ; オオムラサキ ; 大紫蛺蝶 ; 大紫蛱蝶 ; 왕오색나비 ; sasakia charonda ; Japan-Schillerfalter ; marip. emperador japonés ; farfalla imperatore viola ; paarse keizervlinder ; сасакия харонда ; 
0D98 ; FtrInsectKanabun ; drone beetle ; カナブン ; 日銅鑼花金龜 ; 日铜锣花金龟 ; 풍이 ; pseudotorynorrhina ; Japan-Rosenkäfer ; escarabajo verde japonés ; cetonia dorata ; bladsprietkever ; бронзовка ; 
0D9A ; FtrInsectGirafanokogirikuwagata ; giraffe stag ; ギラファノコギリクワガタ ; 長頸鹿鋸鍬形蟲 ; 长颈鹿锯锹形虫 ; 기라파톱사슴벌레 ; lucane girafe ; Giraffenhirschkäfer ; escarabajo ciervo jirafa ; coleottero giraffa ; girafhertkever ; рогач-жираф ; 
0D9B ; FtrInsectJinmenkamemushi ; man-faced stink bug ; ジンメンカメムシ ; 人面椿象 ; 人面椿象 ; 인면노린재 ; catacanthus ; Gesichtswanze ; chinche con rostro humano ; catacanthus ; gezichtschildwants ; щитник с лицом ; 
0D9C ; FtrInsectNishikiohtsubamega ; Madagascan sunset moth ; ニシキオオツバメガ ; 日落蛾 ; 日落蛾 ; 마다가스카르비단제비나방 ; chrysiridia rhipheus ; Regenbogenfalter ; polilla crepuscular ; urania del Madagascar ; adriandolo ; урания мадагаскарская ; 
0D9D ; FtrInsectHousekizoumushi ; blue weevil beetle ; ホウセキゾウムシ ; 寶石象鼻蟲 ; 宝石象鼻虫 ; 유포루스바구미 ; charançon bleu ; Blaurüsselkäfer ; gorgojo azul ; coleottero Schoenherr ; blauwe snuitkever ; синий долгоносик ; 
0D9F ; FtrInsectRuriboshikamikiri ; rosalia batesi beetle ; ルリボシカミキリ ; 琉璃星天牛 ; 琉璃星天牛 ; 루리하늘소 ; rosalia batesi ; Alpenbock ; escarabajo rosalia batesi ; coleottero rosalia batesi ; alpenboktor ; розалия ; 
1425 ; FtrInsectTagame ; giant water bug ; タガメ ; 田鱉 ; 田鳖 ; 물장군 ; punaise d'eau géante ; Riesenwanze ; chinche acuática gigante ; cimice d'acqua gigante ; reuzenwaterwants ; водяной клоп-гигант ; 
14DB ; FtrInsectItotonbo ; damselfly ; イトトンボ ; 豆娘 ; 豆娘 ; 실잠자리 ; demoiselle ; Wasserjungfer ; libélula damisela ; zigottero ; juffer ; равнокрылая стрекоза ; 
0148 ; FtrFishFuna ; crucian carp ; フナ ; 鯽魚 ; 鲫鱼 ; 붕어 ; carassin ; Karausche ; carpín ; carassio ; kroeskarper ; карась ; 
0149 ; FtrFishKingyo ; goldfish ; キンギョ ; 金魚 ; 金鱼 ; 금붕어 ; poisson rouge ; Goldfisch ; pez dorado ; pesce rosso ; goudvis ; золотая рыбка ; 
08A7 ; FtrFishTanago ; bitterling ; タナゴ ; 紅目鯽 ; 红目鲫 ; 납줄개 ; bouvière ; Bitterling ; amarguillo ; rodeo ; bittervoorn ; горчак ; 
08A8 ; FtrFishOikawa ; pale chub ; オイカワ ; 溪哥 ; 溪哥 ; 피라미 ; chevaine ; Döbel ; cacho ; zacco ; Japanse drakenvis ; светлый закко ; 
08A9 ; FtrFishUgui ; dace ; ウグイ ; 珠星三塊魚 ; 雅罗鱼 ; 황어 ; vandoise ; Hasel ; leucisco ; lasca ; serpeling ; елец ; 
08AB ; FtrFishKoi ; carp ; コイ ; 鯉魚 ; 鲤鱼 ; 잉어 ; carpe ; Karpfen ; carpa ; carpa ; karper ; сазан ; 
08AC ; FtrFishNishikigoi ; koi ; ニシキゴイ ; 錦鯉 ; 锦鲤 ; 비단잉어 ; carpe koï ; Koi-Karpfen ; koi ; koi ; koikarper ; карп кои ; 
08AD ; FtrFishDemekin ; pop-eyed goldfish ; デメキン ; 龍睛金魚 ; 龙睛金鱼 ; 툭눈금붕어 ; cyprin doré ; Teleskopauge ; pez telescopio ; pesce telescopio ; telescoopooggoudvis ; телескоп ; 
08AE ; FtrFishMedaka ; killifish ; メダカ ; 稻田魚 ; 稻田鱼 ; 송사리 ; fondule barré ; Killifisch ; killi ; killifish ; killivis ; оризия ; 
08AF ; FtrFishZarigani ; crawfish ; ザリガニ ; 淡水龍蝦 ; 淡水龙虾 ; 가재 ; écrevisse ; Flusskrebs ; cangrejo de río ; gambero ; rode rivierkreeft ; рак ; 
08B0 ; FtrFishSuppon ; soft-shelled turtle ; スッポン ; 鱉 ; 鳖 ; 자라 ; tortue trionyx ; Weichschildkröte ; tortuga caparazón blando ; apalone ferox ; weekschildpad ; трионикс ; 
08B1 ; FtrFishOtama ; tadpole ; オタマジャクシ ; 蝌蚪 ; 蝌蚪 ; 올챙이 ; têtard ; Kaulquappe ; renacuajo ; girino ; kikkervisje ; головастик ; 
08B2 ; FtrFishKaeru ; frog ; カエル ; 青蛙 ; 青蛙 ; 개구리 ; grenouille ; Frosch ; rana ; rana ; kikker ; лягушка ; 
08B3 ; FtrFishDonko ; freshwater goby ; ドンコ ; 塘鱧魚 ; 塘鳢鱼 ; 동사리 ; gobie d'eau douce ; Flussgrundel ; gobio de río ; ghiozzo ; zoetwatergrondel ; одонтобутис ; 
08B4 ; FtrFishDojou ; loach ; ドジョウ ; 泥鰍 ; 泥鳅 ; 미꾸라지 ; loche d'étang ; Bachschmerle ; locha ; cobite ; modderkruiper ; вьюн ; 
08B5 ; FtrFishNamazu ; catfish ; ナマズ ; 鯰魚 ; 鲶鱼 ; 메기 ; silure ; Katzenwels ; siluro ; pesce gatto ; meerval ; сом ; 
08B7 ; FtrFishRaigyo ; giant snakehead ; ライギョ ; 鱧魚 ; 黑鱼 ; 가물치 ; tête-de-serpent ; Schlangenkopf ; pez cabeza de serpiente ; pesce serpente ; rode slangenkopvis ; змееголов ; 
08B8 ; FtrFishBlueguill ; bluegill ; ブルーギル ; 藍鰓太陽魚 ; 蓝腮太阳鱼 ; 블루길 ; crapet ; Sonnenbarsch ; pez sol ; pesce persico ; zonnebaars ; солнечник ; 
08B9 ; FtrFishYellowparch ; yellow perch ; イエローパーチ ; 黃鱸魚 ; 黄鲈鱼 ; 옐로우퍼치 ; perche jaune ; Flussbarsch ; perca amarilla ; perca dorata ; jackbaars ; желтый окунь ; 
08BA ; FtrFishBlackbass ; black bass ; ブラックバス ; 黑鱸魚 ; 黑鲈鱼 ; 큰입배스 ; bar ; Barsch ; perca ; boccalone ; forelbaars ; большеротый окунь ; 
08BB ; FtrFishPaiku ; pike ; パイク ; 白斑狗魚 ; 白斑狗鱼 ; 강꼬치고기 ; brochet ; Hecht ; lucio ; luccio nordico ; snoek ; щука ; 
08BC ; FtrFishWakasagi ; pond smelt ; ワカサギ ; 西太公魚 ; 西太公鱼 ; 빙어 ; éperlan ; Stint ; eperlano ; pingo ; spiering ; малая корюшка ; 
08BD ; FtrFishAyu ; sweetfish ; アユ ; 香魚 ; 香鱼 ; 은어 ; ayu ; Ayu ; ayu ; ayu ; ayu ; айю ; 
08BE ; FtrFishYamame ; cherry salmon ; ヤマメ ; 櫻花鉤吻鮭 ; 樱花钩吻鲑 ; 산천어 ; saumon masou ; Masulachs ; salmón japonés ; salmone giapponese ; Japanse zalm ; сима ; 
08BF ; FtrFishOoiwana ; char ; オオイワナ ; 花羔紅點鮭 ; 花羔红点鲑 ; 열목어 ; omble ; Saibling ; trucha ; salmerino alpino ; bronforel ; голец ; 
08C1 ; FtrFishItou ; stringfish ; イトウ ; 遠東哲羅魚 ; 远东哲罗鱼 ; 일본연어 ; dai yu ; Huchen ; taimén ; taimen ; Donauzalm ; таймень ; 
08C2 ; FtrFishSake ; salmon ; サケ ; 鮭魚 ; 鲑鱼 ; 연어 ; saumon ; Lachs ; salmón ; salmone ; zalm ; лосось ; 
08C3 ; FtrFishKingsalmon ; king salmon ; キングサーモン ; 帝王鮭 ; 帝王鲑 ; 왕연어 ; saumon roi ; Königslachs ; salmón real ; salmone reale ; chinookzalm ; чавыча ; 
08C4 ; FtrFishShanghai ; mitten crab ; シャンハイガニ ; 中華絨螯蟹 ; 中华绒螯蟹 ; 참게 ; crabe chinois ; Wollhandkrabbe ; cangrejo de Shanghái ; granchio guantato ; wolhandkrab ; мохнорукий краб ; 
08C5 ; FtrFishGuppi ; guppy ; グッピー ; 孔雀魚 ; 孔雀鱼 ; 구피 ; guppy ; Guppy ; gupi ; guppy ; guppy ; гуппи ; 
08C6 ; FtrFishDoctor ; nibble fish ; ドクターフィッシュ ; 溫泉醫生魚 ; 温泉医生鱼 ; 닥터피시 ; poisson docteur ; Saugbarbe ; pez doctor ; garra rufa ; knabbelvisje ; рыба-доктор ; 
08C7 ; FtrFishAngelfish ; angelfish ; エンゼルフィッシュ ; 神仙魚 ; 神仙鱼 ; 천사어 ; poisson-ange ; Skalar ; pez ángel ; pesce angelo ; maanvis ; скалярия ; 
08C8 ; FtrFishNeontetora ; neon tetra ; ネオンテトラ ; 霓虹燈魚 ; 霓虹灯鱼 ; 네온테트라 ; néon bleu ; Neonsalmler ; tetra neón ; pesce neon ; neontetra ; голубой неон ; 
08C9 ; FtrFishPirania ; piranha ; ピラニア ; 食人魚 ; 食人鱼 ; 피라니아 ; piranha ; Piranha ; piraña ; pesce piranha ; piranha ; пиранья ; 
08CA ; FtrFishArowana ; arowana ; アロワナ ; 骨舌魚 ; 骨舌鱼 ; 아로와나 ; arowana ; Arowana ; arowana ; arowana ; arowana ; аравана ; 
